Courant,Temperature
13.51,21.76
13.51,21.76
13.51,21.87
13.51,21.87
13.51,21.76
13.51,21.76
13.51,21.87
13.51,21.87
13.51,21.76
13.51,21.87
13.51,21.76
13.51,21.76
13.51,21.76
13.49,21.76
13.51,21.76
13.51,21.66
13.51,21.76
13.51,21.76
13.51,21.76
13.51,21.76
13.51,21.76
13.51,21.76
13.51,21.76
13.51,21.66
13.51,21.87
13.51,20.82
13.51,21.55
13.51,21.45
13.51,21.55
13.51,21.55
13.51,21.55
13.51,21.55
13.51,21.55
13.51,21.45
13.51,21.66
13.51,21.45
13.51,21.55
13.51,21.55
13.51,21.66
13.51,21.45
13.33,22.70
13.30,22.59
13.41,22.59
13.43,22.70
13.38,22.70
13.38,22.39
13.38,22.49
13.41,22.59
13.41,22.59
13.38,22.59
13.33,22.59
13.46,22.39
13.35,22.59
13.43,22.39
13.43,22.28
13.43,22.39
13.41,22.39
13.41,22.39
13.43,22.39
13.38,22.39
13.41,22.28
13.41,22.90
13.43,22.80
13.41,22.80
13.41,22.80
13.41,22.80
13.43,22.80
13.46,22.80
13.41,22.80
13.43,22.80
13.43,22.80
